squadra,nome,chiave,ruolo,tipo,infortunio,rientro_data,rientro_nota,fonti
Juventus,Thuram K.,thuram,C,infortunato,Operazione al ginocchio,01/01/2027,"il centrocampista condizionato da una sindrome femoro-rotulea e, dopo un consulto medico a fine agosto, è stato sottoposto il 3 settembre a operazione chirurgica. Lungo stop, ipotizziamo un rientro da gennaio.",fanta.soccer+transfermarkt+fantacalcio.it
Juventus,Boga J.,boga,A,infortunato,Infortunio al bicipite femorale,07/10/2026,"l'ala offensiva dei bianconeri fermo dopo il match contro il Milan (6 settembre) per una lesione di medio grado del bicipite femorale. Attesi nuovi esami medici a fine settembre per stabilire con esattezza i tempi di recupero, ma ipotizziamo oggi un possibile rientro dalla metà di ottobre.",fanta.soccer+transfermarkt+fantacalcio.it
Juventus,Ekhator J.,ekhator,A,infortunato,Stiramento alla coscia,02/11/2026,"l'attaccante vittima di una lesione di medio grado del muscolo semitendinoso, a metà settembre verrà sottoposto a nuovi esami medici per stabilire i tempi di recupero (in attesa dei nuovi risultati medici, ipotizziamo un lungo stop e un possibile rientro dalla fine di ottobre).",fanta.soccer+transfermarkt+fantacalcio.it
Juventus,Milik A.,milik,A,infortunato,,,,fanta.soccer
Juventus,Yildiz K.,yildiz,A,infortunato,,,"l'attaccante turco, dopo la gara di Frosinone (23 agosto), ha lamentato un problema al piede. Operato il 31 agosto di osteosintesi della frattura della base del V metatarso del piede sinistro, stop di circa tre mesi. Ipotesi di rientro in campo da fine novembre.",fanta.soccer+fantacalcio.it
Lazio,Furlanetto A.,furlanetto,P,infortunato,,,,fanta.soccer
Lazio,Doekhi D.,doekhi,D,infortunato,,,,fanta.soccer
Lazio,Marusic A.,marusic,D,infortunato,,,il terzino dei biancocelesti KO il 24 agosto a Bologna vittima di una lesione muscolare alla coscia. Ipotesi rientro da inizio ottobre.,fanta.soccer+fantacalcio.it
Lazio,Patric,patric,D,infortunato,,,,fanta.soccer
Lazio,Pellegrini L.,pellegrini,D,infortunato,,,,fanta.soccer
Lazio,Dele-Bashiru F.,delebashiru,C,infortunato,,,,fanta.soccer
Lazio,Rovella N.,rovella,C,infortunato,,,il regista dei biancocelesti KO il 30 agosto contro il Genoa vittima di una lesione muscolare al polpaccio che lo terrà ai box fino alla prima metà di ottobre.,fanta.soccer+fantacalcio.it
Lecce,Berisha M.,berisha,C,infortunato,Sovraccarico,01/10/2026,Il centrocampista ha lamentato un sovraccarico muscolare alla gamba e non ha preso parte al match di domenica scorsa in casa contro il Monza. Da valutare in settimana verso la sfida contro il Milan in trasferta nella 5a giornata di campionato.,fanta.soccer+transfermarkt+fantacalcio.it
Lecce,Gandelman O.,gandelman,C,infortunato,Problema fisico,,"Il centrocampista fuori causa domenica scorsa contro il Monza per noie fisiche. Da valutare in vista della prossima giornata di campionato, domenica sera a Milano contro i rossoneri.",fanta.soccer+transfermarkt+fantacalcio.it
Lecce,Geubbels W.,geubbels,A,infortunato,Distorsione alla caviglia,01/10/2026,"l'attaccante KO contro la Roma il 31 agosto vittima di una distorsione alla caviglia, rientro previsto da inizio ottobre.",fanta.soccer+transfermarkt+fantacalcio.it
Monza,Ciurria P.,ciurria,C,infortunato,Problema fisico,,"il centrocampista non al meglio per noie fisiche, forfait per venerdì contro il Sassuolo. Da valutare.",fanta.soccer+transfermarkt+fantacalcio.it
Monza,Pessina M.,pessina,C,infortunato,Infortunio al ginocchio,01/11/2026,"Il centrocampista costretto a saltare l'inizio di campionato per una lussazione della rotula del ginocchio destro rimediata nella prima metà di agosto in allenamento. Tempi di recupero da monitorare, ma proverà a tornare arruolabile dall'inizio di novembre.",fanta.soccer+transfermarkt+fantacalcio.it
Monza,Toure I.,toure,C,infortunato,,,,fanta.soccer
Monza,Ngonge C.,ngonge,A,infortunato,Ritardo di condizione,,,fanta.soccer+transfermarkt
Napoli,Meret A.,meret,P,infortunato,Infortunio agli adduttori,08/10/2026,Il portiere uscito claudicante dal match di mercoledì in Champions League per una lesione di basso grado all'adduttore lungo. Recuperabile dall'inizio di ottobre.,fanta.soccer+transfermarkt+fantacalcio.it
Napoli,Buongiorno A.,buongiorno,D,infortunato,Operazione al ginocchio,31/10/2026,"il difensore operato nella seconda metà di luglio al menisco del ginocchio destro. Sta recuperando lentamente, ipotizziamo possa tornare arruolabile da metà novembre.",fanta.soccer+transfermarkt+fantacalcio.it
Napoli,Marianucci L.,marianucci,D,infortunato,Infortunio al legamento collaterale mediale,12/10/2026,"Il difensore KO in amichevole l'8 agosto vittima di una lesione di alto grado del collaterale mediale del ginocchio sinistro. Tempi di recupero da valutare, ma rischia uno stop di almeno due mesi.",fanta.soccer+transfermarkt+fantacalcio.it
Napoli,Alisson Santos,alissonsantos,C,infortunato,,,,fanta.soccer
Napoli,Anguissa F.,anguissa,C,infortunato,,,,fanta.soccer
Napoli,McTominay S.,mctominay,C,infortunato,Problemi con il cuore,01/10/2026,Il centrocampista l'1 settembre a causa di una lieve aritmia benigna ha deciso di sottoporsi a un intervento di correzione tramite ablazione. Si confida di rivederlo in campo da metà ottobre.,fanta.soccer+transfermarkt+fantacalcio.it
Napoli,Giovane,giovane,A,infortunato,Ernia inguinale,08/10/2026,L'attaccante operato il 3 settembre a causa di un'ernia inguinale e recuperabile dall'inizio di ottobre.,fanta.soccer+transfermarkt+fantacalcio.it
Parma,Nicolussi H.,nicolussi,C,infortunato,,,,fanta.soccer
Roma,Ndicka E.,ndicka,D,infortunato,,,,fanta.soccer
Sassuolo,Fali Cande,falicande,D,infortunato,,,,fanta.soccer
Sassuolo,Idzes J.,idzes,D,infortunato,Stiramento alla coscia,,"Il difensorr ai box per una lesione di grado moderato al quadricipite della gamba sinistra, proverà a tornerà arruolabile dalla seconda metà di ottobre.",fanta.soccer+transfermarkt+fantacalcio.it
Sassuolo,Pieragnolo E.,pieragnolo,D,infortunato,Infortunio al legamento crociato,01/10/2026,il difensore sta proseguendo la fase di recupero dalla lesione legamento crociato anteriore gamba destra e ipotizziamo possa tornare convocabile da ottobre.,fanta.soccer+transfermarkt+fantacalcio.it
