id,nome,chiave,ruolo,squadra,modulo,allenatore,titolare,giornata_testo
102945,Dragusin R.,dragusin,D,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
64713,Ranieri L.,ranieri,D,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
120428,Viery,viery,D,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
117169,Atta A.,atta,C,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
103752,Fagioli N.,fagioli,C,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
120530,Mastantuono F.,mastantuono,C,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
116582,Ndour C.,ndour,C,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
44633,Milinkovic-Savic V.,milinkovicsavic,P,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
111260,Beukema S.,beukema,D,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
20809,Di Lorenzo G.,dilorenzo,D,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
111873,Rafa Marin,rafamarin,D,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
26211,Spinazzola L.,spinazzola,D,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
19157,De Bruyne K.,debruyne,C,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
71942,Gilmour B.,gilmour,C,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
44090,Lobotka S.,lobotka,C,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
40864,Politano M.,politano,C,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
102774,Hojlund R.,hojlund,A,Napoli,4-4-1,Allegri,1,domenica 20 settembre 2026 - ore 12:30
73141,Corvi E.,corvi,P,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
120151,Britschgi S.,britschgi,D,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
66418,Delprato E.,delprato,D,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
120136,Troilo M.,troilo,D,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
102062,Valeri E.,valeri,D,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
94911,Adrian Bernabe,adrianbernabe,C,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
