id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave,squadra_prev,mv_prev,fm_prev,presenze_prev,gol_prev,assist_prev,rig_segnati_prev,rig_sbagliati_prev,gol_subiti_prev,rig_parati_prev,ammonizioni_prev,espulsioni_prev,cambiato_squadra,delta_fm,da_titolare,subentrato,sostituito,pct_titolare,squadra_n,modulo,titolare_prob,titolare,titolare_fonte,rigorista,piazzati,indisponibile,infortunio,rientro_data,rientro_nota,giorni_stop,stop_lungo,gs_squadra,pg_squadra,gs_partita_squadra,gs_squadra_prev,pg_squadra_prev,gs_partita_squadra_prev,eta,nato_il,nome_completo,soprannome,obiettivo,fm_ponderata,bonus,punteggio,fascia,prezzo_indicativo
117151,Bisseck,D,Inter,6.75,3,8.25,1,0,0,0,0,0,0,0,5,4,2026-2027,bisseck,Inter,6.44,6.83,23.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1.42,2,1,0,0.5,inter,4-3-2,1,1,probabili formazioni,0,0,,,,,,,6,4,1.5,35.0,38.0,0.92,26,29/11/2000,,,,7.23,0.7,7.93,Top,30-50
115179,Bracaglia,D,Frosinone,6.5,4,7.12,1,1,0,0,0,0,2,0,5,4,2026-2027,bracaglia,,,,,,,,,,,,,0,,4,0,2,1.0,frosinone,3-4-3,1,1,probabili formazioni,0,0,,,,,,,4,4,1.0,,,,23,19/07/2003,,,,7.12,0.7,7.82,Top,30-50
67789,Bremer,D,Juventus,6.38,4,7.38,1,0,0,0,0,0,0,0,5,4,2026-2027,bremer,Juventus,6.31,6.81,26.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0.57,4,0,0,1.0,juventus,4-3-3,1,1,probabili formazioni,0,0,,,,,,,4,4,1.0,34.0,38.0,0.89,29,18/03/1997,,,,6.99,0.7,7.69,Top,30-50
120151,Britschgi,D,Parma,5.67,3,5.67,0,0,0,0,0,0,0,0,5,4,2026-2027,britschgi,Parma,5.95,5.86,29.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0,-0.19,3,0,3,0.75,parma,4-2-2,1,1,probabili formazioni,0,0,,,,,,,6,4,1.5,46.0,38.0,1.21,20,27/08/2006,,,,5.82,0.7,6.52,Scommessa,1-4
43291,Caleta-Car,D,Sassuolo,0.0,1,0.0,0,0,0,0,0,0,0,0,5,4,2026-2027,caletacar,,,,,,,,,,,,,0,,0,1,0,0.0,sassuolo,,0,0,,0,0,,,,,,,7,4,1.75,50.0,38.0,1.32,30,17/09/1996,,,,0.0,0.0,0.0,Scommessa,1-4
115833,Calvani,D,Frosinone,5.88,4,5.62,0,0,0,0,0,0,2,0,5,4,2026-2027,calvani,,,,,,,,,,,,,0,,4,0,1,1.0,frosinone,,0,0,,0,0,,,,,,,4,4,1.0,,,,22,12/01/2004,,,,5.62,0.2,5.82,Scommessa,1-4
102281,Cambiaso,D,Juventus,5.5,2,5.0,0,0,0,0,0,0,1,0,5,4,2026-2027,cambiaso,Juventus,6.25,6.43,36.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0,-1.43,0,2,1,0.0,juventus,,0,0,,0,0,infortunato,,,,,,4,4,1.0,34.0,38.0,0.89,26,20/02/2000,,,,6.23,0.0,6.23,Scommessa,1-4
95196,Carboni,D,Monza,5.75,4,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,carboni,,,,,,,,,,,,,0,,4,0,1,1.0,monza,5-3-1,1,1,probabili formazioni,0,0,,,,,,,11,4,2.75,,,,25,04/02/2001,,,,5.75,0.7,6.45,Scommessa,1-4
102058,Carlos Augusto,D,Inter,6.75,2,8.5,1,1,0,0,0,0,0,0,5,4,2026-2027,carlosaugusto,Inter,6.09,6.1,34.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0,2.4,1,1,0,0.25,inter,,0,0,,0,0,,,,,,,6,4,1.5,35.0,38.0,0.92,27,07/01/1999,,,,6.46,0.2,6.66,Scommessa,1-4
66280,Celik,D,Juventus,6.38,4,6.25,0,0,0,0,0,0,1,0,5,4,2026-2027,celik,Roma,6.26,6.32,34.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1,-0.07,4,0,2,1.0,juventus,4-3-3,1,1,probabili formazioni,0,0,,,,,,,4,4,1.0,31.0,38.0,0.82,29,17/02/1997,,,,6.3,0.7,7.0,Medio,5-14
